;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
314,10,Spitzer
314,11,Spitzer
314,12,Spitzer
314,13,Spitzer
314,14,Spitzer
314,15,Spitzer
315,10,Spitzer
315,11,Spitzer
315,12,Spitzer
315,13,Spitzer
315,14,Spitzer
316,10,Spitzer
316,11,Spitzer
316,12,Spitzer
316,13,Spitzer
316,14,Spitzer
316,15,Spitzer
317,10,Spitzer
317,11,Spitzer
317,12,Spitzer
317,13,Spitzer
317,14,Spitzer
96,10,Spitzer
96,11,Spitzer
96,12,Spitzer
96,13,Spitzer
96,14,Spitzer
96,15,Spitzer
208,15,Spitzer
319,10,Spitzer
319,11,Spitzer
319,12,Spitzer
319,13,Spitzer
319,14,Spitzer
319,15,Spitzer
320,10,Spitzer
320,11,Spitzer
320,12,Spitzer
320,13,Spitzer
320,14,Spitzer
321,10,Spitzer
321,11,Spitzer
321,12,Spitzer
321,13,Spitzer
321,14,Spitzer
322,10,Spitzer
322,11,Spitzer
322,12,Spitzer
322,13,Spitzer
322,14,Spitzer
323,10,Spitzer
323,11,Spitzer
323,12,Spitzer
323,13,Spitzer
323,14,Spitzer
324,10,Spitzer
324,11,Spitzer
324,12,Spitzer
324,13,Spitzer
324,14,Spitzer
325,10,Spitzer
325,11,Spitzer
325,12,Spitzer
325,13,Spitzer
325,14,Spitzer
327,10,Spitzer
327,11,Spitzer
327,12,Spitzer
327,13,Spitzer
327,14,Spitzer
327,15,Spitzer
3,17,Herschel
3,18,Herschel
3,19,Herschel
35,17,Herschel
35,18,Herschel
35,19,Herschel
35,20,Herschel
35,21,Herschel
35,22,Herschel
97,17,Herschel
97,19,Herschel
97,20,Herschel
97,21,Herschel
97,22,Herschel
0,17,Herschel
0,18,Herschel
0,19,Herschel
0,20,Herschel
0,21,Herschel
0,22,Herschel
1,17,Herschel
1,18,Herschel
1,19,Herschel
1,20,Herschel
1,21,Herschel
1,22,Herschel
2,17,Herschel
2,18,Herschel
2,19,Herschel
2,20,Herschel
2,21,Herschel
